"Airport","Month","Dom_Pax_In","Dom_Pax_Out","Int_Pax_In","Int_Pax_Out"
"ADELAIDE","APR",300934.2,305107.4,35225,40223.4
"ADELAIDE","AUG",293901,290031,42090.2,41771.4
"ADELAIDE","DEC",308524.2,309123.6,42675.6,52529.6
"ADELAIDE","FEB",268721,261981.8,39499.6,31778.2
"ADELAIDE","JAN",288047.6,291281,52736.6,43844.4
"ADELAIDE","JUL",308821.2,313117.4,47694,43122.4
"ADELAIDE","JUN",270961.6,268488.8,35054.8,41646.4
"ADELAIDE","MAR",308351.2,308124,35611.6,37323.4
"ADELAIDE","MAY",285370.6,286202.4,33842.2,38919
"ADELAIDE","NOV",311134.6,310034,37454.4,37639.8
"ADELAIDE","OCT",327138.8,324218.6,47680,37133.6
"ADELAIDE","SEP",295857.8,295057.2,44116.6,43006.8
"ALICE SPRINGS","APR",24719.6,24949.6,0,0
"ALICE SPRINGS","AUG",27963.2,29403.2,0,0
"ALICE SPRINGS","DEC",19927.4,23220,0,0
"ALICE SPRINGS","FEB",20704.6,19903.8,0,0
"ALICE SPRINGS","JAN",21922.8,19370.4,0,0
"ALICE SPRINGS","JUL",29498,31145,0,0
"ALICE SPRINGS","JUN",25088.2,24977.4,0,0
"ALICE SPRINGS","MAR",25278.6,24439.8,0,0
"ALICE SPRINGS","MAY",23597,24280.4,0,0
"ALICE SPRINGS","NOV",24796.8,25176.8,0,0
"ALICE SPRINGS","OCT",27578.2,28343.4,0,0
"ALICE SPRINGS","SEP",26742.8,26999.8,0,0
"All Australian Airports","APR",4921022.8,4921022.8,1568647.6,1607098.8
"All Australian Airports","AUG",4976348.8,4976348.8,1603628.6,1640818.8
"All Australian Airports","DEC",5134831.4,5134831.4,1739775.6,2040624.6
"All Australian Airports","FEB",4385926,4385926,1605236,1395226
"All Australian Airports","JAN",4889878,4889878,2006562.8,1714191.6
"All Australian Airports","JUL",5271672,5271672,1871984.6,1624999.8
"All Australian Airports","JUN",4605466.2,4605466.2,1407577,1651311.6
"All Australian Airports","MAR",4987178.4,4987178.4,1527923,1577361.2
"All Australian Airports","MAY",4706484.2,4706484.2,1393748.8,1471078.2
"All Australian Airports","NOV",5105992,5105992,1560548.8,1597893.2
"All Australian Airports","OCT",5364579.8,5364579.8,1810084.8,1540460.8
"All Australian Airports","SEP",5026281.6,5026281.6,1624883.2,1654910
"AYERS ROCK","APR",16169.6,16504.4,0,0
"AYERS ROCK","AUG",19633,19192.2,0,0
"AYERS ROCK","DEC",13808.2,13750,0,0
"AYERS ROCK","FEB",13144.2,13816,0,0
"AYERS ROCK","JAN",13256.2,13679,0,0
"AYERS ROCK","JUL",18374.2,17960.2,0,0
"AYERS ROCK","JUN",15588,14728.4,0,0
"AYERS ROCK","MAR",16005,16599.2,0,0
"AYERS ROCK","MAY",15110.6,15227.2,0,0
"AYERS ROCK","NOV",16155.4,16964.8,0,0
"AYERS ROCK","OCT",18499.2,19218.8,0,0
"AYERS ROCK","SEP",18285.8,17940.4,0,0
"BALLINA","APR",22141.8,22596.2,0,0
"BALLINA","AUG",18127.8,18190.2,0,0
"BALLINA","DEC",25663,23958.2,0,0
"BALLINA","FEB",18405,18540.8,0,0
"BALLINA","JAN",24712.4,26761.2,0,0
"BALLINA","JUL",21197,21409,0,0
"BALLINA","JUN",17223.8,16722.8,0,0
"BALLINA","MAR",20993.4,20755,0,0
